date,category,n_trades,pnl,n_pre,n_h,n_l,lh_pct,ll_pct,mean_adx,h1,h3,h6,h_trend,vd_high,vd_low,coarse
2025-03-05,neutral,0,0.0,6,5,1,25.0,,29.726326947744624,26.3,21.6,17.0,expanding,11.859999999999538,10.000000000001119,transitioning
2025-03-06,neutral,0,0.0,6,2,4,0.0,33.333333333333336,26.447512043490175,28.9,21.7,18.5,expanding,7.300000000000084,2.7500000000002522,transitioning
2025-03-07,neutral,0,0.0,6,3,3,0.0,0.0,18.331182165646116,21.0,10.1,10.9,stable,7.3333333333332655,4.333333333332856,trending_up
2025-03-09,neutral,0,0.0,6,5,1,25.0,,27.306267041690024,19.0,22.0,17.9,stable,4.9399999999995,8.999999999999009,transitioning
2025-03-10,bad,2,-94.96231360985803,6,4,2,66.66666666666667,0.0,23.28314923199869,5.8,9.5,9.7,contracting,5.225000000000923,2.4999999999997247,transitioning
2025-03-11,neutral,0,0.0,6,4,2,33.333333333333336,0.0,34.02137651809187,18.2,20.9,21.2,contracting,10.399999999999853,13.900000000000023,transitioning
2025-03-12,neutral,0,0.0,6,2,4,100.0,33.333333333333336,20.168269259839175,13.6,17.1,12.2,stable,2.1999999999988695,8.00000000000023,transitioning
2025-03-13,neutral,0,0.0,6,4,2,66.66666666666667,100.0,25.30264724930507,12.8,11.7,11.0,expanding,2.649999999999597,5.0000000000005596,transitioning
2025-03-14,bad,1,-1179.537778728415,6,2,4,100.0,100.0,20.670364733738364,19.7,19.9,15.3,stable,9.649999999998826,5.749999999999922,trending_down
2025-03-16,neutral,0,0.0,6,5,1,0.0,,12.993080274323452,9.4,8.2,8.4,stable,1.120000000000676,2.9999999999996696,transitioning
2025-03-17,neutral,0,0.0,6,4,2,0.0,100.0,11.672392348406637,13.4,12.1,10.5,expanding,1.5999999999999348,1.4999999999998348,transitioning
2025-03-18,neutral,0,0.0,6,4,2,33.333333333333336,100.0,28.632146239877727,24.0,18.0,11.6,expanding,3.2249999999994783,5.500000000001615,transitioning
2025-03-19,neutral,0,0.0,6,3,3,100.0,100.0,35.69591839898791,20.3,15.9,10.4,expanding,3.8999999999996446,7.999999999999859,trending_down
2025-03-20,good,2,2170.876519149382,6,4,2,100.0,100.0,46.01037343262332,30.5,12.5,11.6,expanding,4.874999999999741,20.999999999999908,trending_down
2025-03-21,bad,2,-102.08855275623341,6,3,3,0.0,0.0,37.07417627566007,16.1,14.7,12.1,expanding,7.600000000000939,1.9999999999997797,trending_up
2025-03-23,neutral,0,0.0,6,5,1,100.0,,14.982077234549026,5.0,9.3,13.4,contracting,2.5400000000002088,25.999999999999357,transitioning
2025-03-24,neutral,0,0.0,6,3,3,0.0,50.0,39.13462539459207,15.1,17.8,12.3,stable,8.033333333333411,8.133333333333326,transitioning
2025-03-25,neutral,0,0.0,6,4,2,66.66666666666667,100.0,24.193965843356978,12.3,14.5,13.2,stable,4.7000000000002595,4.999999999999449,transitioning
2025-03-26,bad,2,-92.39720517469937,6,3,3,50.0,50.0,16.310862035263497,11.2,17.1,12.7,stable,7.933333333332755,6.333333333332636,ranging
2025-03-27,neutral,0,0.0,6,5,1,50.0,,18.50995264950154,6.6,4.9,10.1,stable,4.4599999999999085,13.000000000000789,transitioning
