entry_idx,exit_idx,direction,entry,exit,stop,target,size,pnl,win,result,mae,adx_at_entry,atr_at_entry,fractal_bar,fractal_label,timestamp,entry_ts,frk_kind,h1,h3,h6,adx_fr
8934,9057,short,1.22225,1.2185000000000001,1.226,1.2185000000000001,267907.09354730626,977.8608914476464,True,TP,0.0008500000000000174,32.35262149829282,0.0005223340700207729,8932,H,2025-01-16 13:10:00+00:00,2025-01-16 02:55:00+00:00,H,12.000000000000899,20.333333333334053,17.083333333333858,32.53305088857775
9057,9085,short,1.21964,1.2230699999999999,1.22297,1.2163100000000002,304633.696611683,-1075.356949039187,False,SL,0.0036399999999998656,24.926368403580483,0.000739991042157796,9055,H,2025-01-16 15:30:00+00:00,2025-01-16 13:10:00+00:00,H,9.699999999999154,13.366666666666157,15.116666666666148,21.83815137398999
9120,9271,short,1.22401,1.2203700000000002,1.22765,1.2203700000000002,275735.3407215656,976.1031061543051,True,TP,0.0008900000000000574,19.95467115504642,0.0008252734937799397,9118,H,2025-01-17 07:00:00+00:00,2025-01-16 18:25:00+00:00,H,15.499999999999403,29.833333333332636,29.933333333333294,21.74851999310494
9272,9450,short,1.21874,1.21272,1.2247599999999998,1.21272,168345.1281209334,996.6031584759113,True,TP,0.004020000000000135,36.51771085765867,0.0006849640301228741,9270,H,2025-01-17 21:55:00+00:00,2025-01-17 07:05:00+00:00,H,0.10000000000065512,3.333333333332966,4.899999999999904,33.00079543672201
9497,9630,short,1.21864,1.2223099999999998,1.2222099999999998,1.21507,286667.7038859402,-1080.7372436499486,False,SL,0.01041000000000003,30.856769627308754,0.0004974311992801355,9495,H,2025-01-20 13:30:00+00:00,2025-01-20 02:25:00+00:00,H,6.099999999999994,10.866666666667541,15.233333333333581,33.98465990351922
9652,9657,short,1.23102,1.2273200000000002,1.2347199999999998,1.2273200000000002,273674.6839017068,985.2288620460938,True,TP,8.000000000008001e-05,43.287524794472404,0.0015747522398744105,9650,H,2025-01-20 15:45:00+00:00,2025-01-20 15:20:00+00:00,H,21.499999999998742,33.2333333333327,35.01666666666588,45.49457817591905
9662,9677,short,1.2292,1.2256900000000002,1.23271,1.2256900000000002,291295.902865172,993.3190287702081,True,TP,0.0011699999999998933,22.974596492009326,0.0013377925756205076,9660,H,2025-01-20 17:25:00+00:00,2025-01-20 16:10:00+00:00,H,24.600000000001288,30.26666666666659,36.899999999999714,25.887852033611267
9687,9705,short,1.22859,1.2321099999999998,1.2320099999999998,1.2251700000000003,301866.0261241231,-1092.7550145692487,False,SL,0.004589999999999872,16.583691250641216,0.0010806798191687246,9685,H,2025-01-20 19:45:00+00:00,2025-01-20 18:15:00+00:00,H,13.900000000000023,30.966666666666736,31.38333333333317,17.599330540644505
9775,9961,short,1.22727,1.2335299999999998,1.2334299999999998,1.2211100000000004,165820.49662317874,-1054.6183585233687,False,SL,0.006240000000000023,31.41130878238243,0.001464905730427544,9773,H,2025-01-21 17:05:00+00:00,2025-01-21 01:35:00+00:00,H,58.30000000000002,53.566666666666016,35.166666666666124,32.705816120555895
9975,10163,short,1.23272,1.2364799999999998,1.2363799999999998,1.2290600000000003,276204.392244143,-1066.1489540623265,False,SL,0.0037799999999998946,33.23293908582086,0.000707982359895973,9973,H,2025-01-22 09:55:00+00:00,2025-01-21 18:15:00+00:00,H,10.799999999999699,10.933333333333906,14.933333333333465,35.72597226971754
