label,t_height,t_adx,strict,trades,net,win_rate,pf,max_dd_pct
Baseline (no macro gate),0.0,0.0,False,414,-27848.436364367568,48.30917874396136,0.8519329437414308,32.4706962879691
ADX-only @ T_adx=32,0.0,32.0,False,279,-3498.4680527804394,51.61290322580645,0.975970342461998,18.012224306867015
ADX-only @ T_adx=28,0.0,28.0,False,332,-12175.075171027878,50.30120481927711,0.9307405136333888,24.738238123900302
ADX-only @ T_adx=24,0.0,24.0,False,383,-7824.2661903626595,51.174934725848566,0.9597603778738074,22.9781727840147
H1-only @ T_h=12,12.0,0.0,False,371,-14423.275065569422,50.13477088948787,0.9226797158849012,26.738465053636816
H1-only @ T_h=18,18.0,0.0,False,247,-18087.726690753105,48.17813765182186,0.8488276694485938,25.77870557106229
Combined @ 12/32 (best),12.0,32.0,False,168,18308.806746705188,57.142857142857146,1.2188912437357315,8.776440426156855
Combined @ 18/32,18.0,32.0,False,91,11809.357143391635,58.24175824175824,1.2810646910538004,7.4650556700904005
